word,len
不戦勝,3
不手際,3
不承,2
不振,2
不採用,3
不摂生,3
不敗,2
不敬,2
不整,2
不敵,2
不文,2
不文律,3
不文憲法,4
不斉,2
不断,2
不断着,3
不日,2
不明,2
不時,2
不景気,3
不服,2
不本意,3
不朽,2
不条理,3
不条理劇,4
不機嫌,3
不正,2
不正直,3
不死,2
不死身,3
不死鳥,3
不毛,2
不気味,3
不沈,2
不治,2
不況,2
不法,2
不法行為,4
不活発,3
不浄,2
不測,2
不満,2
不溶,2
不滅,2
不潔,2
不熱心,3
不燃,2
不特定多数,5
不特定物,4
不生,2
不用,2
不用心,3
不用意,3
不発,2
不真面目,4
不眠,2
不眠不休,4
不知,2
不知火,3
不知火型,4
不祥,2
不穏,2
不穏当,3
不等,2
不純,2
不純物,3
不統一,3
不義,2
不義理,3
不老,2
不耐,2
不能,2
不興,2
不良,2
不落,2
不行,2
不要,2
不覚,2
不言,2
不言不語,4
不言実行,4
不評,2
不詳,2
不語,2
不調,2
不調和,3
不貞,2
不買,2
不足,2
不退転,3
不透明,3
不通,2
不遇,2
不運,2
不道,2
不道理者,4
不達,2
不遜,2
不適,2
不鑑,2
不随,2
不難明,3
不順,2
不類生,3
不養生,3
不鮮明,3
与信,2
与党,2
与力,2
与圧,2
与太者,3
与太話,3
与太郎,3
与格,2
与野党,3
世一,2
世上,2
世事,2
世人,2
世代,2
世代交代,4
世俗,2
世俗化,3
世嗣,2
世外,2
世子,2
世尊,2
世帯,2
世情,2
世界,2
世界一,3
世界新記録,5
世相,2
世相語,3
世紀,2
世継,2
世襲,2
世話,2
世話人,3
世話字,3
世論,2
世辞,2
世道,2
世道人心,4
世間,2
世間体,3
世間的,3
丘陵,2
丙午,2
丙子,2
丙申,2
丙種,2
両人,2
両側,2
両党,2
両全,2
両刃,2
両分,2
両口,2
両名,2
両国,2
両家,2
両岸,2
両市,2
両性,2
両性花,3
両手,2
両断,2
両方,2
両日,2
両替,2
両校,2
両極,2
両機,2
両氏,2
両派,2
両生,2
両生類,3
両用,2
両町,2
両目,2
両県,2
両眼,2
両社,2
両種,2
両立,2
両端,2
両翼,2
両者,2
両耳,2
両肩,2
両脇,2
両脚,2
両腕,2
両膝,2
両舷,2
両船,2
両行,2
両袖,2
両親,2
両論,2
両足,2
両軍,2
両輪,2
両辺,2
両道,2
両部,2
両院,2
両隣,2
両面,2
並列,2
並存,2
並木,2
並樹,2
並立,2
並行,2
並走,2
並進,2
中一,2
中三,2
中世,2
中世文学,4
中世語,3
中中,2
中二,2
中京,2
中京間,3
中人,2
中仙道,3
中位,2
中低,2
中佐,2
中倉,2
中傷,2
中元,2
中共,2
中分,2
中判,2
中前,2
中医,2
中十日,3
中半,2
中卒,2
中南米,3
中印,2
中原,2
中古,2
中古品,3
中古文,3
中古車,3
中台,2
中和,2
中団,2
中国,2
中国人,3
中国地方,4
中国山地,4
中国茶,3
中国語,3
中国酒,3
中坊,2
中型,2
中垣,2
中堂,2
中堅,2
中堅手,3
中外,2
中大名,3
中天,2
中央,2
中央集権,4
中奥,2
中子,2
中学,2
中学区,3
中学年,3
中学校,3
中学生,3
中宮,2
中将,2
中尉,2
中尊,2
中小,2
中居,2
中屋敷,3
中層,2
中層大気,4
中山道,3
中島,2
中州,2
中巻,2
中年,2
中座,2
中庭,2
中庸,2
中廊下,3
中形,2
中心,2
中心人物,4
中心人翻,4
中心体,3
中心地,3
中心気圧,4
中心運動,4
中心食,3
中忍,2
中性,2
中性子星,4
中性花,3
中慶学,3
中扉,2
中手,2
中押,2
中指,2
中支,2
中教審,3
中文,2
中断,2
中新世,3
中日,2
中旬,2
中朝,2
中期,2
中本,2
中東,2
中東欧,3
中枢,2
中核,2
中欧,2
中止,2
中正,2
中歳,2
中段,2
中毒,2
中水,2
中水道,3
中波,2
中流,2
中火,2
中点,2
中物,2
中生,2
中生代,3
中生動物,4
中産,2
中略,2
中皮,2
中盤,2
中神,2
中秋,2
中程,2
中空,2
中立,2
中立国,3
中立地帯,4
中等,2
中米,2
中納言,3
中級,2
中絶,2
中継,2
中綱言,3
中編,2
中老,2
中耳,2
中聞,2
中肉中背,4
中脳,2
中腹,2
中興,2
中艦子,3
中華,2
中葉,2
中衛,2
中表,2
中西部,3
中越,2
中身,2
中軍,2
中軸,2
中近東,3
中退,2
中途,2
中速,2
中道,2
中部,2
中部地方,4
中醸子鐘,4
中量,2
中銀,2
中鑑,2
中長期,3
中門,2
中間,2
中間原料,4
中間子,3
中間宿主,4
中間小説,4
中間法人,4
中間色,3
中間読物,4
中間配当,4
中隊,2
中隔,2
中露,2
中韓,2
中音,2
中頃,2
中頭,2
中風,2
中飛,2
中食,2
中飯,2
中高,2
中高層,3
中高年,3
中高生,3
中高籍,3
中高音,3
中黒,2
丸井,2
丸八,2
丸印,2
丸善,2
丸型,2
丸太,2
丸屋根,3
丸形,2
丸木,2
丸本,2
丸石,2
丸窓,2
丸紅,2
丸腰,2
丸裸,2
丸顔,2
丹後,2
丹念,2
丹波,2
丹田,2
丹頂,2
主上,2
主事,2
主人,2
主人公,3
主任,2
主体,2
主体性,3
主催,2
主公,2
主典,2
主力,2
主力商品,4
主務,2
主君,2
主命,2
主唱,2
主因,2
主夫,2
主婦,2
主客転倒,4
主宰,2
主家,2
主審,2
主将,2
主導,2
主導権,3
主屋,2
主峰,2
主席,2
主幹,2
主張,2
主役,2
主従,2
主意,2
主成分,3
主戦,2
主教,2
主文,2
主日,2
主旨,2
主星,2
主査,2
主格,2
主桁,2
主権,2
主権国,3
主権在民,4
主権者,3
主殿,2
主流,2
主流派,3
主演,2
主物,2
主犯,2
主産地,3
主産物,3
主用,2
主眼,2
主砲,2
主神,2
主祭,2
主筆,2
主管,2
主素列塞,4
主績商品,4
主義,2
主翼,2
主脈,2
主著,2
主要,2
主観,2
主計,2
主語,2
主調,2
主賓,2
主軸,2
主部,2
主都,2
主音,2
主題,2
主食,2
主馬,2
丼物,2
久安,2
久寿,2
久方,2
久木,2
久遠,2
乗務,2
乗合,2
乗合馬車,4
乗員,2
乗場,2
乗客,2
乗換,2
乗数,2
乗機,2
乗法,2
乗物,2
乗用,2
乗算,2
乗組,2
乗継,2
乗船,2
乗艦,2
乗車,2
乗降,2
乗馬,2
乙女,2
乙女座,3
乙女心,3
乙姫,2
乙未,2
乙種,2
九九,2
九十,2
九品,2
九大,2
九州,2
九星,2
九曜,2
九死,2
九段,2
九百,2
九重,2
乞食,2
乱世,2
乱交,2
乱入,2
乱射,2
乱心,2
乱戦,2
乱打,2
乱数,2
乱数表,3
乱文,2
乱暴,2
乱歩,2
乱気流,3
乱流,2
乱獲,2
乱用,2
乱発,2
乱立,2
乱筆乱文,4
乱舞,2
乱行,2
乱視,2
乱調,2
乱造,2
乱闘,2
乱雑,2
乱高下,3
乳児,2
乳剤,2
乳化,2
乳幼児,3
乳房,2
乳業,2
乳母,2
乳母車,3
乳汁,2
乳液,2
乳牛,2
乳白,2
乳糖,2
乳腺,2
乳輪,2
乳酸,2
乳頭,2
乳首,2
乾元,2
乾分,2
乾季,2
乾式,2
乾性,2
乾杯,2
乾板,2
乾漆,2
乾燥,2
乾物,2
乾隆,2
乾麺,2
亀甲,2
亀裂,2
亀鑑,2
亀頭,2
了承,2
了解,2
予備,2
予兆,2
予告,2
予報,2
予定,2
予審,2
予後,2
予想,2
予感,2
予断,2
予期,2
予測,2
予熱,2
予知,2
予科,2
予稿,2
予算,2
予約,2
予習,2
予行,2
予行演習,4
予見,2
予言,2
予選,2
予防,2
争乱,2
争奪,2
争点,2
争覇,2
争訟,2
争論,2
争議,2
事事,2
事事物物,4
事件,2
事件記者,4
事例,2
事典,2
事前,2
事前工作,4
事前運動,4
事務,2
事務員,3
事務家,3
事務所,3
事務総長,4
事務長,3
事変,2
事大,2
事大主義,4
事始,2
事実,2
事実上,3
事実審,3
事実無根,4
事後,2
事情,2
事情通,3
事態,2
事故,2
事柄,2
事案,2
事業,2
事業主,3
事業団,3
事業家,3
事業年度,4
事欄,2
事無草,3
事物,2
事犯,2
事理,2
事理明白,4
事由,2
事績,2
事行,2
事見,2
事記,2
事象,2
事跡,2
事項,2
二三,2
二人,2
二人三脚,4
二人組,3
二元,2
二分金,3
二十,2
二又,2
二塁,2
二天一流,4
二女,2
二子,2
二宮,2
二年生,3
二度手間,4
二形,2
二手,2
二枚舌,3
二毛作,3
二水,2
二泰三文,4
二流,2
二王,2
二男,2
二百,2
二盗,2
二神,2
二等辺三角形,6
二者,2
二者択一,4
二股,2
二色,2
二葉,2
二見,2
二言,2
二言目,3
二進,2
二郎,2
二部,2
二階,2
二面,2
互助,2
互恵,2
互換,2
互生,2
互角,2
互選,2
五事,2
五代,2
五体,2
五分,2
五分五分,4
五十,2
五十路,3
五十音,3
五味,2
五大,2
五家,2
五山,2
五常,2
五徳,2
五感,2
五指,2
五明,2
五月,2
五月人形,4
五月晴,3
五月雨,3
五男,2
五百,2
五目,2
五福,2
五穀,2
五経,2
五線紙,3
五色,2
五葉,2
五行,2
五街道,3
五角,2
五言,2
五輪,2
五郎太,3
五音,2
五風十雨,4
井戸,2
井戸端会議,5
井桁,2
井筒,2
亜人,2
亜大,2
亜属,2
亜流,2
亜炭,2
亜目,2
亜科,2
亜種,2
亜米利加,4
亜細亜,3
亜鉛,2
亜門,2
亜麻,2
亜麻仁,3
亡命,2
亡国,2
亡夫,2
亡失,2
亡父,2
亡者,2
亡霊,2
亡骸,2
交互,2
交付,2
交付金,3
交代,2
交会,2
交信,2
交友,2
交尾,2
交差,2
交情,2
交感,2
交感神経,4
交戦,2
交手,2
交接,2
交換,2
交換手,3
交易,2
交替,2
交歓,2
交流,2
交流会,3
交渉,2
交点,2
交番,2
交直,2
交語,2
交通,2
交通税,3
交通費,3
交通難,3
交遊,2
交配,2
交錯,2
交際,2
交際家,3
交雑,2
交響,2
享保,2
享受,2
享和,2
享年,2
享徳,2
享楽,2
京人,2
京劇,2
京城,2
京大,2
京官,2
京師,2
京急,2
京成,2
京津,2
京浜,2
京滋,2
京畿,2
京華,2
京葉,2
京言葉,3
京都,2
京阪,2
京阪神,3
亭主,2
人一倍,3
人世,2
人中,2
人中白,3
人事,2
人事交流,4
人事権,3
人事異動,4
人事管理,4
人事部,3
人事部長,4
人事院,3
人人,2
人人御中,4
人仕事,3
人件,2
人件費,3
人伝,2
人体,2
人倫,2
人偏,2
人処,2
人出,2
人別,2
人前,2
人力,2
人力車,3
人参,2
人口,2
人口圧,3
人口理論,4
人名,2
人命,2
人品,2
人品骨柄,4
人員,2
人国記,3
人型,2
人垣,2
人士,2
人外,2
人外境,3
人天,2
人夫,2
人妻,2
人定法,3
人家,2
人宿,2
人屋,2
人山,2
人工,2
人工公物,4
人工天体,4
人工海水,4
人工物,3
人工生命,4
人工知能,4
人工芝,3
人工言語,4
人工通風,4
人形,2
人形劇,3
人形手,3
人影,2
人後,2
人徳,2
人心,2
人心一新,4
人心一薪,4
人心地,3
人情,2
人情本,3
人情話,3
人意,2
人我無相,4
人手,2
人手不足,4
人数,2
人数立,3
人文,2
人文主義,4
人文地理,4
人文地理学,5
人文字,3
人文科学,4
人日,2
人望,2
人材,2
人柄,2
人柱,2
人格,2
人格化,3
人格者,3
人様,2
人権,2
人権外交,4
人権宣言,4
人民,2
人民服,3
人気,2
人気作家,4
人気者,3
人気色,3
人波,2
人海,2
人海戦術,4
人災,2
人為,2
人物,2
人物画,3
人獣,2
人生,2
人生哲学,4
人生模様,4
人生行路,4
人生観,3
人生読本,4
人生論,3
人界,2
人畜,2
人畜無害,4
人的,2
人的会社,4
人目,2
人相,2
人相学,3
人相書,3
人相見,3
人相面,3
人知,2
人神,2
人称,2
人種,2
人聞業,3
人肉,2
人脈,2
人臣,2
人見,2
人言,2
人語,2
人財,2
人質,2
人足,2
人身,2
人造,2
人造人間,4
人道,2
人道主義,4
人道家,3
人道的,3
人選,2
人里,2
人間,2
人間世,3
人間味,3
人間国宝,4
人間学,3
人間工学,4
人間業,3
人間道,3
人面,2
人面獣心,4
人面魚,3
人頭,2
人類,2
人類学,3
人香,2
人馬,2
人馬一休,4
人馬一体,4
人骨,2
人魂,2
人魚,2
人麗,2
仁丹,2
仁人,2
仁和,2
仁安,2
仁寿,2
仁川,2
仁平,2
仁徳,2
仁愛,2
仁治,2
仁王,2
仁義,2
今上,2
今体,2
今作,2
今回,2
今夏,2
今夜,2
今季,2
今宮,2
今宵,2
今年,2
今度,2
今当世,3
今当代,3
今後,2
今日,2
今日明日,4
今昔,2
今春,2
今時,2
今時分,3
今晩,2
今更,2
今月,2
今朝,2
今期,2
今様,2
今渡,2
今生,2
今秋,2
今般,2
今週,2
今際,2
今頃,2
介入,2
介助,2
介在,2
介抱,2
介添,2
介護,2
介錯,2
仏事,2
仏像,2
仏僧,2
仏具,2
仏典,2
仏前,2
仏印,2
仏国,2
仏塔,2
仏壇,2
仏学,2
仏寺,2
仏師,2
仏式,2
仏性,2
仏教,2
仏文,2
仏暦,2
仏殿,2
仏法,2
仏滅,2
仏画,2
仏語,2
仏説,2
仏道,2
仏門,2
仏閣,2
仏頂,2
仏領,2
仕上,2
仕事,2
仕事人,3
仕事場,3
仕事柄,3
仕事率,3
仕事着,3
仕入,2
仕入先,3
仕切,2
仕合,2
仕学,2
仕官,2
仕手,2
仕掛,2
仕方,2
仕業,2
仕様,2
仕法,2
仕立屋,3
仕組,2
仕置,2
仕舞,2
仕草,2
仕訳,2
他事,2
他人,2
他人事,3
他人名義,4
他人行儀,4
他党,2
他力,2
他力本願,4
他動,2
他国,2
他宗,2
他家,2
他局,2
他州,2
他市,2
他店,2
他愛,2
他所,2
他方,2
他校,2
他殺,2
他流,2
他流試合,4
他生,2
他界,2
他県,2
他社,2
他種,2
他紙,2
他者,2
他行,2
他見,2
他言,2
他言無用,4
他誌,2
他車,2
他馬,2
付与,2
付人,2
付加,2
付合,2
付属,2
付属品,3
付帯,2
付替,2
付添,2
付点,2
付物,2
付番,2
付着,2
付着力,3
付表,2
付言,2
付託,2
付記,2
付設,2
付近,2
付録,2
付随,2
仙人,2
仙人掌,3
仙台,2
仙境,2
仙女,2
仙洞,2
仙界,2
仙術,2
仙骨,2
代人,2
代代,2
代任,2
代休,2
代位,2
代作,2
代価,2
代償,2
代償行動,4
代入,2
代務,2
代参,2
代名詞,3
代員,2
代地,2
代執行,3
代官,2
代官所,3
代将,2
代弁,2
代役,2
代打,2
代数,2
代数学,3
代書,2
代書人,3
代替,2
代替地,3
代案,2
代決,2
代演,2
代物,2
代物弁済,4
代理,2
代理人,3
代理公使,4
代理意思,4
代理業,3
代理権,3
代用,2
代用食,3
代筆,2
代紋,2
代義作,3
代行,2
代表,2
代表作,3
代表社員,4
代表質問,4
代言,2
代言人,3
代読,2
代謝,2
代議,2
代議制度,4
代走,2
代車,2
代返,2
代金,2
代金引換,4
代霧学,3
令制,2
令和,2
令夫人,3
令嬢,2
令旨,2
令状,2
以上,2
以下,2
以下同文,4
以内,2
以前,2
以北,2
以南,2
以外,2
以後,2
以心,2
以心伝心,4
以来,2
以東,2
以蔵,2
以西,2
以遠,2
以降,2
仮名,2
仮名序,3
仮名手本,4
仮名文字,4
仮名本,3
仮名遣,3
仮定,2
仮定法,3
仮家,2
仮屋,2
仮性,2
仮想,2
仮橋,2
仮死,2
仮病,2
仮眠,2
仮称,2
仮装,2
仮託,2
仮設,2
仮訳,2
仮説,2
仮足,2
仮面,2
仮面劇,3
仮題,2
仰天,2
仰角,2
仲人,2
仲介,2
仲卸,2
仲居,2
仲裁,2
仲見世,3
仲買,2
仲間,2
仲間同士,4
件名,2
件数,2
任免,2
任務,2
任命,2
任国,2
任地,2
任官,2
任意,2
任意法,3
任所,2
任期,2
任用,2
企図,2
企業,2
企画,2
企画書,3
伎楽,2
伎芸天,3
伏兵,2
伏字,2
伏屋,2
伏流,2
伏線,2
伐採,2
休会,2
休作,2
休刊,2
休園,2
休場,2
休学,2
休廃止,3
休息,2
休憩,2
休戦,2
休日,2
休日出勤,4
休暇,2
休校,2
休業,2
休業手当,4
休止,2
休演,2
休眠,2
休符,2
休耕,2
休職,2
休診,2
休講,2
休載,2
休部,2
休閑地,3
休養,2
休館,2
休館日,3
会下,2
会主,2
会則,2
会友,2
会合,2
会合衆,3
会同,2
会員,2
会員名簿,4
会堂,2
会報,2
会場,2
会嬢,2
会席,2
会席料理,4
会式,2
会得,2
会心,2
会心作,3
会意,2
会戦,2
会所,2
会扇,2
会敵,2
会日,2
会期,2
会期中,3
会本,2
会派,2
会流,2
会社,2
会社人間,4
会社員,3
会社法,3
会糧,2
会緻,2
会者定離,4
会衆,2
会行事,3
会見,2
会計,2
会計原則,4
会計士,3
会計学,3
会計年度,4
会話,2
会話体,3
会話文,3
会話語,3
会誌,2
会読,2
会談,2
会議,2
会議所,3
会費,2
